ID,Country,Country code,GDP per capita in USD,Sex,Mean height of 19-year-olds in cm
223,Netherlands,NLD,52331.3167277797,Girls,170.3612107
224,Norway,NOR,75419.6348688089,Boys,180.4752288
225,Norway,NOR,75419.6348688089,Girls,166.448307
226,Nepal,NPL,1071.05076055404,Boys,164.3637755
227,Nepal,NPL,1071.05076055404,Girls,152.3889602
228,Nauru,NRU,9396.98196681072,Boys,169.5697914
229,Nauru,NRU,9396.98196681072,Girls,157.8220749
230,New Zealand,NZL,42084.3533748088,Boys,177.7186704
231,New Zealand,NZL,42084.3533748088,Girls,164.6600412
232,Oman,OMN,15343.0620043106,Boys,171.6956401
233,Oman,OMN,15343.0620043106,Girls,158.4350097
234,Pakistan,PAK,1284.70204090039,Boys,167.3251134
235,Pakistan,PAK,1284.70204090039,Girls,154.7706078
236,Panama,PAN,15731.0160348471,Boys,170.1901695
237,Panama,PAN,15731.0160348471,Girls,158.1864561
238,Peru,PER,6977.69578355382,Boys,166.7506016
239,Peru,PER,6977.69578355382,Girls,154.3871646
240,Philippines,PHL,3485.08421835861,Boys,165.2326888
241,Philippines,PHL,3485.08421835861,Girls,154.144211
242,Palau,PLW,14901.9835314079,Boys,170.6244315
243,Palau,PLW,14901.9835314079,Girls,159.517622
244,Papua New Guinea,PNG,2829.17030896837,Boys,163.097954
245,Papua New Guinea,PNG,2829.17030896837,Girls,156.8944981
246,Poland,POL,15692.5070255563,Boys,180.6864059
247,Poland,POL,15692.5070255563,Girls,165.7761352
248,Puerto Rico,PRI,32873.7192730424,Boys,179.48215
249,Puerto Rico,PRI,32873.7192730424,Girls,163.0573217
250,Portugal,PRT,23252.0585181211,Boys,174.3708516
251,Portugal,PRT,23252.0585181211,Girls,161.2271328
252,Paraguay,PRY,5414.79913793258,Boys,173.8061773
253,Paraguay,PRY,5414.79913793258,Girls,159.762217
254,Qatar,QAT,62088.0618276987,Boys,173.2724105
255,Qatar,QAT,62088.0618276987,Girls,160.7157302
256,Romania,ROU,12919.5296441908,Boys,177.8235057
257,Romania,ROU,12919.5296441908,Girls,164.7308377
258,Russian Federation,RUS,11584.9953826104,Boys,176.6489555
259,Russian Federation,RUS,11584.9953826104,Girls,164.5173719
260,Rwanda,RWA,820.025241658159,Boys,166.0231738
261,Rwanda,RWA,820.025241658159,Girls,156.7193229
262,Saudi Arabia,SAU,23139.7986561214,Boys,170.6654708
263,Saudi Arabia,SAU,23139.7986561214,Girls,158.8377261
264,Sudan,SDN,441.505603374484,Boys,172.0735944
265,Sudan,SDN,441.505603374484,Girls,160.3617147
266,Senegal,SEN,1446.83096499408,Boys,176.1772132
267,Senegal,SEN,1446.83096499408,Girls,163.9240914
268,Singapore,SGP,65233.2824392302,Boys,173.4965252
269,Singapore,SGP,65233.2824392302,Girls,161.3047179
270,Solomon Islands,SLB,2373.63247042576,Boys,163.0694439
271,Solomon Islands,SLB,2373.63247042576,Girls,156.7888442
272,Sierra Leone,SLE,527.533634399111,Boys,166.4285078
273,Sierra Leone,SLE,527.533634399111,Girls,157.335599
274,El Salvador,SLV,4187.2500311069,Boys,170.6696869
275,El Salvador,SLV,4187.2500311069,Girls,156.3895702
276,Serbia,SRB,7411.83611634734,Boys,180.7387125
277,Serbia,SRB,7411.83611634734,Girls,168.285067
278,Sao Tome and Principe,STP,1946.64361370086,Boys,170.3699634
279,Sao Tome and Principe,STP,1946.64361370086,Girls,159.8104627
280,Suriname,SUR,6359.83361442737,Boys,174.5144365
281,Suriname,SUR,6359.83361442737,Girls,162.2638615
282,Slovenia,SVN,25946.1821852127,Boys,180.9774125
283,Slovenia,SVN,25946.1821852127,Girls,167.1975653
284,Sweden,SWE,51615.0206514946,Boys,180.4567319
285,Sweden,SWE,51615.0206514946,Girls,166.6739103
286,Seychelles,SYC,17448.2702926831,Boys,175.8975925
287,Seychelles,SYC,17448.2702926831,Girls,162.4655675
288,Chad,TCD,709.540310138533,Boys,171.8384508
289,Chad,TCD,709.540310138533,Girls,162.124187
290,Togo,TGO,679.290249091295,Boys,170.1359032
291,Togo,TGO,679.290249091295,Girls,159.1294047
292,Thailand,THA,7806.74221105532,Boys,171.611156
293,Thailand,THA,7806.74221105532,Girls,159.417654
294,Tajikistan,TJK,870.787589323223,Boys,168.431278
295,Tajikistan,TJK,870.787589323223,Girls,158.1217805
296,Timor-Leste,TLS,1560.50982160188,Boys,160.1305426
297,Timor-Leste,TLS,1560.50982160188,Girls,152.7123349
298,Tonga,TON,4903.15290276599,Boys,175.113118
299,Tonga,TON,4903.15290276599,Girls,166.0793945
300,Trinidad and Tobago,TTO,17397.9817601543,Boys,176.0332708
301,Trinidad and Tobago,TTO,17397.9817601543,Girls,163.3798399
302,Tunisia,TUN,3317.4535932122,Boys,176.8533816
303,Tunisia,TUN,3317.4535932122,Girls,161.6854548
304,Turkey,TUR,9126.56134585014,Boys,176.3558226
305,Turkey,TUR,9126.56134585014,Girls,161.80204
306,Tuvalu,TUV,4059.02999569444,Boys,171.2982381
307,Tuvalu,TUV,4059.02999569444,Girls,163.5700611
308,Tanzania,TZA,1122.12181047515,Boys,166.9789255
309,Tanzania,TZA,1122.12181047515,Girls,156.8863466
310,Uganda,UGA,794.341077917102,Boys,168.7360393
311,Uganda,UGA,794.341077917102,Girls,158.5279616
312,Ukraine,UKR,3659.03131229487,Boys,180.9759732
313,Ukraine,UKR,3659.03131229487,Girls,166.6226773
